job_post,company,company_rating,company_review,exp_required,salary_offered,job_location,job_description,required_skills,posted_on,
Application Developer: Microsoft Analytics,IBM,4.2,15912 Reviews,12-17 Yrs,Not disclosed,Bangalore/Bengaluru,Required Technical and Professional Expertise . . . . . . . . .,"Data analysis
Workflow
microsoft
Analytics
SQL
application
business intelligence
intelligence",14 Days Ago,
Application Developer: System i,IBM,4.2,15912 Reviews,4-8 Yrs,Not disclosed,Bangalore/Bengaluru,Required Technical and Professional Expertise location should be Bangalore / Hyderabad ...,"Consulting
AS400
RPG
Application development
Troubleshooting
application
software development
agile methodology",14 Days Ago,
Application Developer: Mobile Android,IBM,4.2,15912 Reviews,3-8 Yrs,Not disclosed,Bangalore/Bengaluru,Envision how people experience products and bring that vision to life in a way that fee...,"Performance tuning
Agile
Application development
Open source
Android
application
android application development
open",14 Days Ago,
Package Consultant: SAP Cloud Integration,IBM,4.2,15912 Reviews,12-17 Yrs,Not disclosed,Bangalore/Bengaluru,"As a Package Consultant at IBM, get ready to tackle numerous mission-critical company d...","jQuery
Javascript
JDBC
SQL
Ajax
sap
coding
xslt",14 Days Ago,
Application Developer: Microservices,IBM,4.2,15912 Reviews,8-13 Yrs,Not disclosed,Bangalore/Bengaluru,Required Technical and Professional Expertise Minimum 8+ years of experience in Core Ja...,"Content management
Web services
Programming
HTTP
SQL
application
debugging
json",14 Days Ago,
Package Consultant: SAP SCM SD,IBM,4.2,15912 Reviews,3-8 Yrs,Not disclosed,Bangalore/Bengaluru,Required Technical and Professional Expertise . . . . . . . . . Minimum 3 Years of expe...,"Supply chain management
Billing
Consulting
SCM
Freight
sap
sd
data",14 Days Ago,
Package Consultant: SAP Cloud Integration,IBM,4.2,15912 Reviews,3-8 Yrs,Not disclosed,Bangalore/Bengaluru,Required Technical and Professional Expertise Minimum 3 Years of experience in SCM (Sup...,"Supply chain management
Billing
Consulting
SCM
Freight
sales
saps
edi",14 Days Ago,
Application Database Administrator: NoSQL Cloud Databases,IBM,4.2,15912 Reviews,5-7 Yrs,Not disclosed,Bangalore/Bengaluru,Experience migrating from any other RDBMS with target as PG is a mustRequired Technical...,"Performance tuning
Interpersonal skills
Time management
Oracle
Teradata
application
cloud
management",14 Days Ago,
Application Developer: SAP ABAP HANA,IBM,4.2,15912 Reviews,6-11 Yrs,Not disclosed,Bangalore/Bengaluru,Required Technical and Professional Expertise . . . . . . . . . . 6+ years of experienc...,"SAP
Production support
Agile
ABAP
SQL
design
technical
application",14 Days Ago,
Accountant Legal Entity,Caterpillar Inc,4.2,746 Reviews,0-5 Yrs,Not disclosed,Bangalore/Bengaluru,The position is responsible to support High Integrity Financial Reporting in compliance...,"project management
erp
auditing
legal
finance
transfer pricing
entity
reporting",30+ Days Ago,
Research Associate - Climate & Sustainability,Boston Consulting Group,3.9,165 Reviews,0-1 Yrs,Not disclosed,Bangalore/Bengaluru,". . . Undergraduate degree minimum (preferably in environmental engineering, environmen...","science
industry research
environmental science
consulting
sustainability
environmental engineering
customer satisfaction
trade",30+ Days Ago,
FPNA/FP&A Financial Analyst Bangalore location,Tesco,4.1,951 Reviews,4-8 Yrs,Not disclosed,Hybrid - Bangalore/Bengaluru,Should be able to understand and analyze business impacts that the reports and delivera...,"financial analysis
business partnering
finance
data
data reporting
reporting
fpa
analysis",15 Days Ago,
Associate Scrum Master,Siemens,4.2,5124 Reviews,0-10 Yrs,Not disclosed,Bangalore/Bengaluru,Looking for an Engineering Graduate / Postgraduate - preferably a major in Computer Sci...,"project
software
data
data structures
software design
c++
analytical
design",8 Days Ago,
Executives,EXL,3.9,4372 Reviews,0-2 Yrs,Not disclosed,Bangalore/Bengaluru,Flexible to work in any shift & open to putting in extra hours when required . .,"excel
accounting
erp
vlookup
advanced excel
accounts receivable
workflow
salesforce",8 Days Ago,
PDN Engineer,"Qualcomm Technologies, Inc",4.1,505 Reviews,0-3 Yrs,Not disclosed,Bangalore/Bengaluru,Proficient in scripting languages (Tcl and Perl)Working with SOC and Packaging Teams on...,"verification
soc
python
hardware
computer science
packaging
engineering
hardware engineering",8 Days Ago,
Sales Assistant,Marriott,4.2,950 Reviews,0-2 Yrs,Not disclosed,Bangalore/Bengaluru,"Perform general office duties to support Sales Marketing (e.g., filing, sending emails,...","supervision
assistance
room
sales
process
quality assurance
assurance
usage",8 Days Ago,
CUSTOMER Care EXECUTIVE,Muthoot Finance,3.6,2490 Reviews,0-3 Yrs,Not disclosed,Bangalore/Bengaluru,"Maintain gold relationship with clients, so that the business can maximize the valueof ...","management
accounting
customer care
revenue
cash
generation
revenue generation
management accounting",8 Days Ago,
Officer/ Executive - Customer Service/ Ramp/ Security,Agile Airport Services,4,69 Reviews,0-3 Yrs,Not disclosed,Bangalore/Bengaluru,"Desired Skills: Good Communication Skills, Customer Service Aptitude, and Open to work ...","sm
recruitment
control
aviation
customer satisfaction
ramp
ticketing
customer service",8 Days Ago,
Management Trainee,Muthoot Finance,3.6,2490 Reviews,0-3 Yrs,Not disclosed,Bangalore/Bengaluru,Responsible for personal decisions of cases as per the laid down policies and procedure...,"finance
training management
management
training
financial analysis
analysis
Management Trainee",8 Days Ago,
Sales Executive,Medtronic,3.9,362 Reviews,0-5 Yrs,4.5-9.5 Lacs PA,Bangalore/Bengaluru,Achieving secondary and primary sales targets month on month ( How ?- To be present in ...,"sales
development
account management
sales executive activities
key accounts
new business development
business development
accounting",8 Days Ago,
Cognizant Hiring Freshers - Process Executive - Bangalore,Cognizant,3.9,31515 Reviews,0-0 Yrs,Not disclosed,Bangalore/Bengaluru,* Strong communication (written & Verbal) . * Must be flexible for night shift & rotati...,"bpo
voice
voice process
process
hiring
non voice
non voice process",8 Days Ago,
Genpact Hiring For Hindi Language Specialist || Bangalore,Genpact,4,20687 Reviews,0-2 Yrs,Not disclosed,Bangalore/Bengaluru,Must be able to work on a flexible schedule (including weekend shift work)Minimum quali...,"language
English
Hindi
languages
soft skills training
translation
voice
hiring",8 Days Ago,
Urgent Opening For Regional Training & Development Manager - APAC,Securitas,4,139 Reviews,6-11 Yrs,Not disclosed,Bangalore/Bengaluru,Urgent Opening For Regional Training & Development Manager - APACPosition is with one o...,"Training
development management
management
development
regional
learning and development
training and development
Trainer",2 Days Ago,
Copywriter - Bangalore,Deloitte Digital,4,295 Reviews,0-2 Yrs,2-4 Lacs PA,Hybrid - Bangalore/Bengaluru,"Bachelor s Degree in Marketing, English, Journalism or related field. About the Role. ....","Copy Writing
seo writing
seo
creative
writing
creative writing
proof reading",8 Days Ago,
Cognizant Hiring For Freshers (Process Executive) -Voice,Cognizant,3.9,31515 Reviews,0-0 Yrs,Not disclosed,"Hyderabad/Secunderabad, Gurgaon/Gurugram, Bangalore/Bengaluru",Adhere to shift handover processes Any Full time Graduation No BE / BTech/MBA / BCA/MCA...,"Ms World
communication skills
microsoft
english
powerpoint
voice
excel
performance",21 Days Ago,
HCL Technologies Hiring For Big Data Engineer Role,HCLTech,3.8,19966 Reviews,6-11 Yrs,Not disclosed,"Hybrid - Noida, Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru",Candidate should have minimum 7 years of experience as total. Candidate should have min...,"hive
java
spark
hadoop
big data
data
scala
hiring",6 Days Ago,
"Bid Manager, Digital Presales",Cyient,3.7,3061 Reviews,7-11 Yrs,Not disclosed,"Hyderabad/Secunderabad, Bangalore/Bengaluru",Skills Experience,"digital
market research
aerospace
technology solutions
rfp
sales
marketing
semiconductor",6 Days Ago,
Hadoop Admin,Tavant Technologies,4.1,386 Reviews,5-10 Yrs,Not disclosed,"Noida, Hyderabad/Secunderabad, Bangalore/Bengaluru","Mandate skills : Hadoop + Linux , Hadoop on premises experience is must. Candidate shou...","Hadoop Administration
hadoop
linux
linux administration
administration",6 Days Ago,
Product Owner,Virtusa,3.8,2394 Reviews,13-20 Yrs,Not disclosed,"Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru",Greetings from Virtusa...!!!! we have an opportunity for Pega Developer.Exp- 13+ yearsL...,"Product owner
Payments
Cards",6 Days Ago,
Job Opening - Front End - Technical Lead - React,Photon,4.2,768 Reviews,7-12 Yrs,Not disclosed,"Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru",Should be able to work with backend technology to understand the integration with front...,"Redux
React.Js
html/css
css
front
cs
front end
technical",6 Days Ago,
Software Architect - Azure + Angular,Tech Mahindra,3.8,20425 Reviews,10-20 Yrs,20-35 Lacs PA,"Kolkata, Hyderabad/Secunderabad, Ahmedabad, Chennai, Bangalore/Bengaluru",Other solutions on various platforms such as AWS added bonus but key areas of experienc...,"Angular
azure
c#
microsoft azure
html
node.js
sql
architecture",14 Days Ago,
Technical Delivery Manager,Conduent,3.6,1945 Reviews,12-15 Yrs,30-45 Lacs PA,"Hybrid - Hyderabad/Secunderabad, Bangalore/Bengaluru",Roles and Responsibilities Should have managed teams of around 20+ people across multip...,"Angularjs
Hibernate
Websphere
spingboot
core java
management
delivery management
core",10 Days Ago,
Integrated Solutions Sales Manager,Sartorius,4.1,60 Reviews,7-10 Yrs,Not disclosed,"Hyderabad/Secunderabad, Bangalore/Bengaluru",". A Bachelor / Master of Science in Engineering, Chemical, Biochemical, Biology or Phar...","sales strategy
integration
management
consulting
pharmacy
techno-commercial
project
sales management",7 Days Ago,
Photon Infotech is hiring AEM Lead !!!!,Photon,4.2,768 Reviews,9-14 Yrs,Not disclosed,"Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru","Photon Infotech is hiring AEM Leads across Chennai , Hyderabad, and Bangalore locations...","Java
aem
hiring",7 Days Ago,
Photon Infotech Hiring AEM Developers!!!!!!,Photon,4.2,768 Reviews,4-9 Yrs,Not disclosed,"Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru","Photon Infotech is hiring AEM developers across Chennai , Hyderabad, and Bangalore loca...","java
aem
hiring
development",7 Days Ago,
Software / Firmware Engineer - Intern,Marvell Semiconductors,4.5,26 Reviews,0-2 Yrs,Not disclosed,Bangalore/Bengaluru,1.Skill in Automation Strategy and Methodology. 2.Strong skills in Python scripting. 3....,"software
automotive
firmware
semiconductor
electricals
infrastructure
focus
computer science",5 Days Ago,
Senior Software Engineer,ICON plc,4.2,402 Reviews,4-6 Yrs,Not disclosed,"Chennai, Bangalore/Bengaluru, Trivandrum/Thiruvananthapuram",Experience in C# programming and Microsoft SQL serverDeveloping good estimates of effor...,"healthcare
technology
subject
microsoft
sql server
development
clinical
agile",5 Days Ago,
Loss Prevention Associate,Marriott,4.2,950 Reviews,2-4 Yrs,Not disclosed,Bangalore/Bengaluru,"In addition, some states may have additional licensing / registration requirements to b...","civil
management
inspection
training
loss prevention
supervision
licensing
prevention",5 Days Ago,
Cybersecurity Engineer - Identity and Access Management,Visa Inc,4.4,14 Reviews,3-7 Yrs,Not disclosed,Bangalore/Bengaluru,Take ownership of an assigned responsibilities in UNIX environment for the given applic...,"access
data
unix
access management
core
oracle
scrum
agile",5 Days Ago,
Staff Data Engineer,Visa Inc,4.4,14 Reviews,5-10 Yrs,Not disclosed,Bangalore/Bengaluru,Candidate must be flexible and willing to switch tasks based on team s needsNot only is...,"coding
j2ee
machine learning
python
business solutions
data
mysql
unix",5 Days Ago,
"Lead System Architect - Java, Microservices",Visa Inc,4.4,14 Reviews,3-10 Yrs,Not disclosed,Bangalore/Bengaluru,"As the Lead Systems Architect, you will have the opportunity to bring your creative cur...","dbms
unix
system
linux
oracle
computer science
system architecture
nosql",5 Days Ago,
Site IT Operations Manager - ServiceNow,Shell Pvt Ltd,4.4,1237 Reviews,8-11 Yrs,Not disclosed,Bangalore/Bengaluru,Drive Incident/Problem resolution by assisting in key operational activities in terms o...,"operations management
data management
process
site
macros
data
servicenow
vlookup",5 Days Ago,
Systems Engineer - Service Now,Shell Pvt Ltd,4.4,1237 Reviews,5-8 Yrs,Not disclosed,Bangalore/Bengaluru,Working with the project to deliver a supportable initial implementation Represent the ...,"rules
operations
business rules
change management
change
management
hp data protector
servicenow",5 Days Ago,
Mgr Business Application,Watson Pharama,4.5,3 Reviews,8-13 Yrs,Not disclosed,Bangalore/Bengaluru,. Finance Business Analysist for implementation and GR configuration setup . Design and...,"information technology
application
fi
reporting
management
data collection
sap
finance",5 Days Ago,
Quality Sr Specialist,Watson Pharama,4.5,3 Reviews,5-9 Yrs,Not disclosed,Bangalore/Bengaluru,Qualifications . Masters / Freshers . .,"investment
mars
procedures
research
hrsd
standard operating procedures
compliance
operating",5 Days Ago,
Sr Applications Developer,Watson Pharama,4.5,3 Reviews,3-8 Yrs,Not disclosed,Bangalore/Bengaluru,Bachelor s degree in computer science . Minimum 3+ years of experience in Data Engineer...,"computer
sql
python
application
networking
sr
development
information technology",5 Days Ago,
Treasury Analyst I,Watson Pharama,4.5,3 Reviews,2-6 Yrs,Not disclosed,Bangalore/Bengaluru,Has limited discretion to vary from established procedures . Has limited work experienc...,"basic
research
networking
treasury
hrsd
investment research
supervision
investment",5 Days Ago,
Software Development Engineer - Senior,"Qualcomm Technologies, Inc",4.1,505 Reviews,4-5 Yrs,Not disclosed,Bangalore/Bengaluru,. 4+ years of programming experience across C++ / C# / Python . Strong lab skills and e...,"development
rf
senior
python
computer science
automotive
engineering
software development",5 Days Ago,
Presales & Support Engineer - Digital Solutions,Avery Dennison,4.1,295 Reviews,3-5 Yrs,Not disclosed,Bangalore/Bengaluru,Mandatory Skills: . Engineering degree or equivalent experience preferred . 3-5 years o...,"project
test cases
project delivery
hardware
delivery
case
interpersonal skill
procurement",5 Days Ago,
Account Services Admin II,Caterpillar Inc,4.2,746 Reviews,3-6 Yrs,Not disclosed,Bangalore/Bengaluru,1.Provides administrative support for the Collections group. Prepares invoices and othe...,"networking
improvement
leasing
administration
accounts receivable
customer service
billing
account services",5 Days Ago,
Lead Java Developer,Conduent,3.6,1945 Reviews,6-10 Yrs,Not disclosed,Bangalore/Bengaluru,"Functions as expert developer focused on Java and J2EE technologies i.e. Core Java, J2E...","leadership development
web services
core
oracle
production support
maven
high level design
production",5 Days Ago,
Middleware Admin,Conduent,3.6,1945 Reviews,3-8 Yrs,Not disclosed,Bangalore/Bengaluru,College or university degree required. General Profile Requires knowledge and experienc...,"service quality
interpersonal skill
administration
middleware
quality
dbms
sales
usage",5 Days Ago,
"Walkin For OTC, RTR, PTP, Payroll skills at Bangalore on 25th March",Infosys BPM,4,6158 Reviews,25 Mar,Not disclosed,Bangalore/Bengaluru,"Greeting from Infosys BPM Ltd., We are hiring for F&A- OTC, RTR, PTP, Payroll, skills. ...","OTC
p2p
payroll
rtr
r2r
ptp",Walk-in,
